run_id,model,task,uq_method,item_id,seed_id,source_modality,ordinal_strength,numeric_strength,valid_n,total_n,parse_failures,y_true,y_pred,p_yes,confidence,uncertainty_score,uncertainty_measure,label_distribution,gold_modality,pred_modality,text_modality,text_modality_parse_status,text_modality_correct,label_text_consistent,text_overcommit,text_undercommit,text_high_conf_overcommit_80,text_high_conf_overcommit_90
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task1,verbalized_confidence,S0001_mandatory,S0001,mandatory,3,1.0,1,1,0,1,1,1.0,1.0,0.0,one_minus_confidence,"{""no"":0.0,""yes"":1.0}",,,,,,,,,,
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task2,verbalized_confidence,S0001_mandatory,S0001,mandatory,3,1.0,1,1,0,1,1,,1.0,0.0,one_minus_confidence,,mandatory,mandatory,mandatory,ok,True,True,False,False,False,False
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task1,verbalized_confidence,S0001_recommended,S0001,recommended,2,0.67,1,1,0,0,0,0.050000000000000044,0.95,0.050000000000000044,one_minus_confidence,"{""no"":0.95,""yes"":0.05}",,,,,,,,,,
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task2,verbalized_confidence,S0001_recommended,S0001,recommended,2,0.67,1,1,0,1,1,,0.95,0.050000000000000044,one_minus_confidence,,recommended,recommended,mandatory,ok,False,False,True,False,True,True
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task1,verbalized_confidence,S0001_optional,S0001,optional,1,0.33,1,1,0,0,0,0.0,1.0,0.0,one_minus_confidence,"{""no"":1.0,""yes"":0.0}",,,,,,,,,,
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task2,verbalized_confidence,S0001_optional,S0001,optional,1,0.33,1,1,0,1,1,,0.95,0.050000000000000044,one_minus_confidence,,optional,optional,mandatory,ok,False,False,True,False,True,True
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task1,verbalized_confidence,S0001_nice_to_have,S0001,nice_to_have,0,0.0,1,1,0,0,0,0.050000000000000044,0.95,0.050000000000000044,one_minus_confidence,"{""no"":0.95,""yes"":0.05}",,,,,,,,,,
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task2,verbalized_confidence,S0001_nice_to_have,S0001,nice_to_have,0,0.0,1,1,0,0,0,,0.95,0.050000000000000044,one_minus_confidence,,nice_to_have,recommended,recommended,ok,False,True,True,False,True,True
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task1,verbalized_confidence,S0002_mandatory,S0002,mandatory,3,1.0,1,1,0,1,1,1.0,1.0,0.0,one_minus_confidence,"{""no"":0.0,""yes"":1.0}",,,,,,,,,,
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task2,verbalized_confidence,S0002_mandatory,S0002,mandatory,3,1.0,1,1,0,1,1,,1.0,0.0,one_minus_confidence,,mandatory,mandatory,mandatory,ok,True,True,False,False,False,False
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task1,verbalized_confidence,S0002_recommended,S0002,recommended,2,0.67,1,1,0,0,0,0.050000000000000044,0.95,0.050000000000000044,one_minus_confidence,"{""no"":0.95,""yes"":0.05}",,,,,,,,,,
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task2,verbalized_confidence,S0002_recommended,S0002,recommended,2,0.67,1,1,0,1,1,,1.0,0.0,one_minus_confidence,,recommended,recommended,recommended,ok,True,True,False,False,False,False
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task1,verbalized_confidence,S0002_optional,S0002,optional,1,0.33,1,1,0,0,0,0.0,1.0,0.0,one_minus_confidence,"{""no"":1.0,""yes"":0.0}",,,,,,,,,,
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task2,verbalized_confidence,S0002_optional,S0002,optional,1,0.33,1,1,0,1,1,,1.0,0.0,one_minus_confidence,,optional,optional,optional,ok,True,True,False,False,False,False
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task1,verbalized_confidence,S0002_nice_to_have,S0002,nice_to_have,0,0.0,1,1,0,0,0,0.050000000000000044,0.95,0.050000000000000044,one_minus_confidence,"{""no"":0.95,""yes"":0.05}",,,,,,,,,,
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task2,verbalized_confidence,S0002_nice_to_have,S0002,nice_to_have,0,0.0,1,1,0,0,0,,0.95,0.050000000000000044,one_minus_confidence,,nice_to_have,recommended,recommended,ok,False,True,True,False,True,True
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task1,verbalized_confidence,S0008_mandatory,S0008,mandatory,3,1.0,1,1,0,1,1,1.0,1.0,0.0,one_minus_confidence,"{""no"":0.0,""yes"":1.0}",,,,,,,,,,
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task2,verbalized_confidence,S0008_mandatory,S0008,mandatory,3,1.0,1,1,0,1,1,,1.0,0.0,one_minus_confidence,,mandatory,mandatory,mandatory,ok,True,True,False,False,False,False
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task1,verbalized_confidence,S0008_recommended,S0008,recommended,2,0.67,1,1,0,0,0,0.050000000000000044,0.95,0.050000000000000044,one_minus_confidence,"{""no"":0.95,""yes"":0.05}",,,,,,,,,,
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task2,verbalized_confidence,S0008_recommended,S0008,recommended,2,0.67,1,1,0,1,1,,1.0,0.0,one_minus_confidence,,recommended,recommended,recommended,ok,True,True,False,False,False,False
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task1,verbalized_confidence,S0008_optional,S0008,optional,1,0.33,1,1,0,0,0,0.050000000000000044,0.95,0.050000000000000044,one_minus_confidence,"{""no"":0.95,""yes"":0.05}",,,,,,,,,,
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task2,verbalized_confidence,S0008_optional,S0008,optional,1,0.33,1,1,0,1,1,,1.0,0.0,one_minus_confidence,,optional,optional,optional,ok,True,True,False,False,False,False
full-20260519-105930-dd00dd54,qwen/qwen3.5-9b,task1,verbalized_confidence,S0008_nice_to_have,S0008,nice_to_have,0,0.0,1,1,0,0,0,0.050000000000000044,0.95,0.050000000000000044,one_minus_confidence,"{""no"":0.95,""yes"":0.05}",,,,,,,,,,
