seed_id,proposed_capability,review_decision
S0003,enable all voice call services to operate between any combination of fixed and mobile equipment users,accepted
S0004,support point-to-point voice calls between any two call parties,accepted
S0005,allow both parties in a point-to-point call to talk simultaneously,accepted
S0008,support broadcast voice calls,accepted
S0020,support the transmission of point-to-point and point-to-multipoint text messages from the ground to mobile users,accepted
S0021,provide network support for receipt of mobile-originated text messages by the ground,accepted
S0024,provide network support for point-to-point data communications,accepted
S0029,provide network support for fax transmissions between the ground and mobile users,accepted
S0040,allow calls with a higher assigned priority to override existing calls of a lower priority,accepted
S0045,allow a user forwarding a voice call to converse with the intended recipient before forwarding,accepted
S0047,allow the user to temporarily exit an existing call by putting the call on hold,accepted
S0049,inform a user involved in an existing call of attempts by other users to contact them,accepted
S0050,provide information about call rates and ongoing call charges where network services are chargeable,accepted
S0057,provide network support for all EIRENE-compliant mobiles,accepted
S0088,"provide EIRENE mobile radio equipment whose design, testing and installation all comply with the quality procedures defined in ISO 9001",accepted
S0096,provide the driver with a handheld portable for communication outside the train,accepted
S0108,provide the driver with an audible and visual indication that the call to the controller is proceeding,accepted
S0111,display the connected party's alphanumeric functional-identity description to the driver when that description is present,accepted
S0115,display the group identity on the Cab radios of the participating drivers,accepted
S0129,display a multi-driver indication permanently at all Cab radios while the multi-driver call is ongoing,accepted
S0131,allow the lead driver to remove a member from the multi-driver call at any time during that call,accepted
S0133,provide a clear indication if a driver is disconnected from the multi-driver call,accepted
S0141,prompt the driver to select the train staff with whom to communicate after presenting the list of generic train staff,accepted
S0151,inform the driver of an ongoing broadcast call with a visual indication on the MMI,accepted
S0154,display a visual indication on the driver's MMI during a group call to remind the driver to use the PTT button,accepted
S0168,provide the link assurance tone via the loudspeaker,accepted
S0171,provide a means to enter and leave direct mode if direct mode is implemented,accepted
S0180,disconnect the Cab radio from the mobile network when the Cab radio is powered down,accepted
S0181,retain all numbers stored in the Cab radio at switch-off while the radio is switched off,accepted
S0187,"complete Cab radio soft-switch-off housekeeping on power failure as far as possible, including controlled termination of a current call, train-number deregistration where applicable, required-data storage and Railway emergency-call confirmation",accepted
S0213,allow the leading driver to accept or reject the train number returned by the network after an automated train-number request,accepted
S0216,warn the driver with audible and visual indications if a train with the same train number is already registered on the same network,accepted
S0220,"allow non-leading drivers to indicate their location in the train to the system during registration, such as second or third driver",accepted
S0221,automatically register the driver's functional number when the train number is registered and deregister it when the train number is deregistered,accepted
S0233,display the results of radio and MMI tests in a format similar to the self-test results displayed when the MMI is powered on,accepted
S0238,allow established calls to be put on hold or cleared down by pre-emption to meet other call priorities,accepted
S0241,provide an advisory indication to pre-empted parties where pre-emption occurs,accepted
S0243,allow the Cab radio to perform run-time diagnostic tests on all physical interfaces at the driver's request,accepted
S0245,make all failures available for recording in a train-borne recorder if run-time diagnostics are implemented,accepted
S0259,"allow the driver to adjust the brightness of buttons, indicator lights and displays to ambient cab lighting",accepted
S0260,allow the driver to adjust display contrast,accepted
S0262,make displays clearly readable from a normal driver's position at a normal reading distance,accepted
S0269,provide an audible and visual indication on the Cab radio if contact with the mobile radio network is lost,accepted
S0270,provide a driver safety device interface in DSD-equipped traction units to support DSD alarm transmission,accepted
S0272,automatically trigger the Cab radio to send a data message when the driver safety device is activated,accepted
