seed_id,source_dataset,source_corpus,original_requirement,capability_text_auto,auto_include,auto_exclusion_reason,include,exclusion_reason,capability_text_final,context_document,context_requirement_id,context_marker,context_section,context_before,context_after,context_legend
S0001,PURE,2007-eirene_fun_7-2,The network services necessary to meet the range of UIC requirements are detailed below. These services are to be considered as a minimum set for implementation within each UIC standard network. Railways may implement additional network services as desired.,the network services necessary to meet the range of UIC requirements are detailed below. These services are to be considered as a minimum set for implementation within each UIC standard network. Railways may implement additional network services as desired,no,too_long;multi_sentence;residual_modal_in_capability;informative_marker,no,too_long;multi_sentence;residual_modal_in_capability;informative_marker,,"EIRENE Functional Requirements Specification, version 7",2.1.1,I,2 Network requirements > 2.1 Introduction,,2.2.1 (M): This section describes the generic voice telephony services which are to be supported by the EIRENE network:,"(M) mandatory, (O) optional, (I) informative"
S0002,PURE,2007-eirene_fun_7-2,This section describes the generic voice telephony services which are to be supported by the EIRENE network:,this section describes the generic voice telephony services which are to be supported by the EIRENE network,no,no_requirement_cue;table_or_figure_reference;colon_structure,no,no_requirement_cue;table_or_figure_reference;colon_structure,,"EIRENE Functional Requirements Specification, version 7",2.2.1,M,2 Network requirements > 2.2 Voice services,2.1.1 (I): The network services necessary to meet the range of UIC requirements are detailed below. These services are to be considered as a minimum set for implementation within each UIC standard network. Railways may implement additional network services as desired.,2.2.2 (M): All voice call services shall be able to operate between any combination of fixed and mobile equipment users.,"(M) mandatory, (O) optional, (I) informative"
S0003,PURE,2007-eirene_fun_7-2,All voice call services shall be able to operate between any combination of fixed and mobile equipment users.,operate between any combination of fixed and mobile equipment users,yes,,yes,,operate between any combination of fixed and mobile equipment users,"EIRENE Functional Requirements Specification, version 7",2.2.2,M,2 Network requirements > 2.2 Voice services,2.2.1 (M): This section describes the generic voice telephony services which are to be supported by the EIRENE network:,2.2.3 (M): The system shall support point-to-point voice calls between any two call parties.,"(M) mandatory, (O) optional, (I) informative"
S0004,PURE,2007-eirene_fun_7-2,The system shall support point-to-point voice calls between any two call parties.,support point-to-point voice calls between any two call parties,yes,,yes,,support point-to-point voice calls between any two call parties,"EIRENE Functional Requirements Specification, version 7",2.2.3,M,2 Network requirements > 2.2 Voice services,2.2.2 (M): All voice call services shall be able to operate between any combination of fixed and mobile equipment users.,2.2.4 (M): Such point-to-point calls shall allow both parties to talk simultaneously.,"(M) mandatory, (O) optional, (I) informative"
S0005,PURE,2007-eirene_fun_7-2,Such point-to-point calls shall allow both parties to talk simultaneously.,allow both parties to talk simultaneously,yes,,yes,,allow both parties to talk simultaneously,"EIRENE Functional Requirements Specification, version 7",2.2.4,M,2 Network requirements > 2.2 Voice services,2.2.3 (M): The system shall support point-to-point voice calls between any two call parties.,2.2.5 (M): The system shall allow a user to make public emergency point-to-point voice calls.,"(M) mandatory, (O) optional, (I) informative"
S0006,PURE,2007-eirene_fun_7-2,The system shall allow a user to make public emergency point-to-point voice calls.,allow a user to make public emergency point-to-point voice calls,yes,,no,not_sampled_mandatory_pool,,"EIRENE Functional Requirements Specification, version 7",2.2.5,M,2 Network requirements > 2.2 Voice services,2.2.4 (M): Such point-to-point calls shall allow both parties to talk simultaneously.,2.2.6 (I): Such emergency calls include 112 calls and may not be used for railway emergencies.,"(M) mandatory, (O) optional, (I) informative"
S0007,PURE,2007-eirene_fun_7-2,Such emergency calls include 112 calls and may not be used for railway emergencies.,not be used for railway emergencies,no,negation;informative_marker,no,negation;informative_marker,,"EIRENE Functional Requirements Specification, version 7",2.2.6,I,2 Network requirements > 2.2 Voice services,2.2.5 (M): The system shall allow a user to make public emergency point-to-point voice calls.,2.2.7 (M): The system shall support broadcast voice calls.,"(M) mandatory, (O) optional, (I) informative"
S0008,PURE,2007-eirene_fun_7-2,The system shall support broadcast voice calls.,support broadcast voice calls,yes,,yes,,support broadcast voice calls,"EIRENE Functional Requirements Specification, version 7",2.2.7,M,2 Network requirements > 2.2 Voice services,2.2.6 (I): Such emergency calls include 112 calls and may not be used for railway emergencies.,"2.2.8 (I): Broadcast voice calls provide one-way voice communications from a single user to multiple users in a pre-defined local area, all of whom are members of the same call group.","(M) mandatory, (O) optional, (I) informative"
S0009,PURE,2007-eirene_fun_7-2,"Broadcast voice calls provide one-way voice communications from a single user to multiple users in a pre-defined local area, all of whom are members of the same call group.","broadcast voice calls provide one-way voice communications from a single user to multiple users in a pre-defined local area, all of whom are members of the same call group",no,no_requirement_cue;informative_marker,no,no_requirement_cue;informative_marker,,"EIRENE Functional Requirements Specification, version 7",2.2.8,I,2 Network requirements > 2.2 Voice services,2.2.7 (M): The system shall support broadcast voice calls.,2.2.9 (M): The composition of call groups shall be able to be modified within the network. A single user shall be able to be a member of one or more call groups.,"(M) mandatory, (O) optional, (I) informative"
S0010,PURE,2007-eirene_fun_7-2,The composition of call groups shall be able to be modified within the network. A single user shall be able to be a member of one or more call groups.,be modified within the network. A single user shall be able to be a member of one or more call groups,no,multi_sentence;residual_modal_in_capability,no,multi_sentence;residual_modal_in_capability,,"EIRENE Functional Requirements Specification, version 7",2.2.9,M,2 Network requirements > 2.2 Voice services,"2.2.8 (I): Broadcast voice calls provide one-way voice communications from a single user to multiple users in a pre-defined local area, all of whom are members of the same call group.",2.2.10 (M): The local area over which broadcast calls shall be implemented shall be able to be modified within the network.,"(M) mandatory, (O) optional, (I) informative"
S0011,PURE,2007-eirene_fun_7-2,The local area over which broadcast calls shall be implemented shall be able to be modified within the network.,be implemented shall be able to be modified within the network,no,residual_modal_in_capability,no,residual_modal_in_capability,,"EIRENE Functional Requirements Specification, version 7",2.2.10,M,2 Network requirements > 2.2 Voice services,2.2.9 (M): The composition of call groups shall be able to be modified within the network. A single user shall be able to be a member of one or more call groups.,"2.2.11 (M): It shall only be possible for the user who initiated the call to talk, other users can only listen.","(M) mandatory, (O) optional, (I) informative"
S0012,PURE,2007-eirene_fun_7-2,"It shall only be possible for the user who initiated the call to talk, other users can only listen.","only be possible for the user who initiated the call to talk, other users can only listen",no,residual_modal_in_capability,no,residual_modal_in_capability,,"EIRENE Functional Requirements Specification, version 7",2.2.11,M,2 Network requirements > 2.2 Voice services,2.2.10 (M): The local area over which broadcast calls shall be implemented shall be able to be modified within the network.,2.2.12 (M): The system shall support group voice calls.,"(M) mandatory, (O) optional, (I) informative"
S0013,PURE,2007-eirene_fun_7-2,The system shall support group voice calls.,support group voice calls,yes,,no,not_sampled_mandatory_pool,,"EIRENE Functional Requirements Specification, version 7",2.2.12,M,2 Network requirements > 2.2 Voice services,"2.2.11 (M): It shall only be possible for the user who initiated the call to talk, other users can only listen.","2.2.13 (I): Group voice calls provide voice communications between a number of users in a pre- defined local area, all of whom are members of the same call group.","(M) mandatory, (O) optional, (I) informative"
S0014,PURE,2007-eirene_fun_7-2,"Group voice calls provide voice communications between a number of users in a pre- defined local area, all of whom are members of the same call group.","group voice calls provide voice communications between a number of users in a pre- defined local area, all of whom are members of the same call group",no,no_requirement_cue;informative_marker,no,no_requirement_cue;informative_marker,,"EIRENE Functional Requirements Specification, version 7",2.2.13,I,2 Network requirements > 2.2 Voice services,2.2.12 (M): The system shall support group voice calls.,2.2.14 (M): The composition of call groups shall be able to be modified within the network. A single user shall be able to be a member of one or more call groups.,"(M) mandatory, (O) optional, (I) informative"
S0015,PURE,2007-eirene_fun_7-2,The local area over which group calls are implemented shall be able to be modified within the network.,be modified within the network,yes,,no,not_sampled_mandatory_pool,,"EIRENE Functional Requirements Specification, version 7",2.2.15,M,2 Network requirements > 2.2 Voice services,2.2.14 (M): The composition of call groups shall be able to be modified within the network. A single user shall be able to be a member of one or more call groups.,2.2.16: It is acceptable that only one mobile user involved in the group call may talk at any time. In this case: It shall be possible for controllers to speak at any time during the call. (M) A mechanism shall be provided by the system to arbitrate between those users wishing to speak within the group call. (M),"(M) mandatory, (O) optional, (I) informative"
S0016,PURE,2007-eirene_fun_7-2,It is acceptable that only one mobile user involved in the group call may talk at any time. In this case: It shall be possible for controllers to speak at any time during the call. A mechanism shall be provided by the system to arbitrate between those users wishing to speak within the group call.,talk at any time. In this case: It shall be possible for controllers to speak at any time during the call. A mechanism shall be provided by the system to arbitrate between those users wishing to speak within the group call,no,too_long;multi_sentence;residual_modal_in_capability;colon_structure;multiple_markers,no,too_long;multi_sentence;residual_modal_in_capability;colon_structure;multiple_markers,,"EIRENE Functional Requirements Specification, version 7",2.2.16,M,2 Network requirements > 2.2 Voice services,2.2.15 (M): The local area over which group calls are implemented shall be able to be modified within the network.,2.2.17 (M): The system shall support multi-party voice communications between up to six different parties.,"(M) mandatory, (O) optional, (I) informative"
S0017,PURE,2007-eirene_fun_7-2,The system shall support multi-party voice communications between up to six different parties.,support multi-party voice communications between up to six different parties,yes,,no,not_sampled_mandatory_pool,,"EIRENE Functional Requirements Specification, version 7",2.2.17,M,2 Network requirements > 2.2 Voice services,2.2.16: It is acceptable that only one mobile user involved in the group call may talk at any time. In this case: It shall be possible for controllers to speak at any time during the call. (M) A mechanism shall be provided by the system to arbitrate between those users wishing to speak within the group call. (M),2.2.18 (M): Any of the parties involved in a multi-party voice call shall be able to talk simultaneously.,"(M) mandatory, (O) optional, (I) informative"
S0018,PURE,2007-eirene_fun_7-2,Any of the parties involved in a multi-party voice call shall be able to talk simultaneously.,talk simultaneously,yes,,no,not_sampled_mandatory_pool,,"EIRENE Functional Requirements Specification, version 7",2.2.18,M,2 Network requirements > 2.2 Voice services,2.2.17 (M): The system shall support multi-party voice communications between up to six different parties.,2.3.1: The EIRENE network will provide data services to support the following data applications: text messages; (O) general data applications; (M) automatic fax; (O) train control applications. (O),"(M) mandatory, (O) optional, (I) informative"
S0019,PURE,2007-eirene_fun_7-2,The EIRENE network will provide data services to support the following data applications: text messages; general data applications; automatic fax; train control applications.,provide data services to support the following data applications: text messages; general data applications; automatic fax; train control applications,no,possibly_multiple_capabilities;colon_structure;multiple_markers,no,possibly_multiple_capabilities;colon_structure;multiple_markers,,"EIRENE Functional Requirements Specification, version 7",2.3.1,O,2 Network requirements > 2.3 Data services,2.2.18 (M): Any of the parties involved in a multi-party voice call shall be able to talk simultaneously.,2.3.2 (O): The network should support the transmission of point-to-point and point-to- multipoint text messages from the ground to mobile users.,"(M) mandatory, (O) optional, (I) informative"
S0020,PURE,2007-eirene_fun_7-2,The network should support the transmission of point-to-point and point-to- multipoint text messages from the ground to mobile users.,support the transmission of point-to-point and point-to- multipoint text messages from the ground to mobile users,yes,,yes,,support the transmission of point-to-point and point-to- multipoint text messages from the ground to mobile users,"EIRENE Functional Requirements Specification, version 7",2.3.2,O,2 Network requirements > 2.3 Data services,2.3.1: The EIRENE network will provide data services to support the following data applications: text messages; (O) general data applications; (M) automatic fax; (O) train control applications. (O),2.3.3 (O): The network should support the receipt of mobile-originated text messages by the ground.,"(M) mandatory, (O) optional, (I) informative"
S0021,PURE,2007-eirene_fun_7-2,The network should support the receipt of mobile-originated text messages by the ground.,support the receipt of mobile-originated text messages by the ground,yes,,yes,,support the receipt of mobile-originated text messages by the ground,"EIRENE Functional Requirements Specification, version 7",2.3.3,O,2 Network requirements > 2.3 Data services,2.3.2 (O): The network should support the transmission of point-to-point and point-to- multipoint text messages from the ground to mobile users.,"2.3.4 (M): If the text message facility is implemented, it shall not interfere with the ability of users to make or receive high priority voice or data calls.","(M) mandatory, (O) optional, (I) informative"
