Seed,Source corpus,Original requirement,Final capability text
S0110,2013_echo_srd_WEB,More than 10 (TBC) of the planets observed in the Chemical Census tier shall be observed in the Rosetta Stone tier.,observe more than 10 of the planets observed in the Chemical Census tier in the Rosetta Stone tier
S0198,2005_skal1_WEB,The SKA1_Mid shall have the configuration defined in the TB,have the configuration defined in the TB
S0391,2021_gmt_oad_web,The Facilities shall provide space for Storage of mobile equipment and electrical equipment.,provide space for Storage of mobile equipment and electrical equipment
S0456,2019_jpss_l1rds_web,"The JPSS Ground System shall provide communication services for the S-NPP, JPSS-1, and JPSS-2 missions.","provide communication services for the S-NPP, JPSS-1, and JPSS-2 missions"
S0585,2021_gmt_ord_web,"The Observatory shall comply with the Health, Safety, Security, and Environmental Strategy document (GMT-DOC-01061).","comply with the Health, Safety, Security, and Environmental Strategy document (GMT-DOC-01061)"
S2234,2006_hgs_ird_web,The HSC shall make SSO ephemerides information available to the MOC SSO database.,make SSO ephemerides information available to the MOC SSO database
S2373,2015_skal0_WEB,SKA1-MID shall provide the capability to change observing modes and/or bands within less than 5 seconds.,change observing modes and/or bands within less than 5 seconds
S2544,2013_loft_mrd_web,The MOC shall provide all telemetry to the SOC.,provide all telemetry to the SOC
S3077,2019_jpss_dps,The Cloud Cover/Layers product shall provide fractional cloud cover with a horizontal cell size of 10 kilometers.,provide fractional cloud cover with a horizontal cell size of 10 kilometers
S3293,2005_skal1_WEB,Equipment required for test and support shall be identified for each repairable item.,identify equipment needed for test and support for each repairable item
S3339,2019_jpss_l1rds_web,The JPSS Ground System shall provide a description of the science algorithms needed to process the JPSS Direct Broadcast data.,provide a description of the science algorithms needed to process the JPSS Direct Broadcast data
S3655,2021_gmt_oad_web,The GMT shall slew telescope to target during target acquisition in GLAO mode in a maximum of 120 sec.,slew telescope to target during target acquisition in GLAO mode in a maximum of 120 sec
S3740,2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for availability of input data from EO archives.,account for the availability of input data from EO archives during development of the SICCI system
S3751,2015_skal0_WEB,SKA1-MID shall provide 45 dB spectral dynamic range at auto-correlation spatial and 300 kHz spectral resolution to enable sensitive intensity mapping at 350  1050 MHz (HPSO 32).,provide 45 dB spectral dynamic range at auto-correlation spatial and 300 kHz spectral resolution to enable sensitive intensity mapping at 350  1050 MHz (HPSO 32)
S3970,2012_stequest_mrd_web,SOC shall be responsible for the science data archive.,be responsible for the science data archive
S3978,2012_marcopolo_WEB,"All spacecraft shall be designed according to [RD4], [RD5], [RD6] and [RD7] unless otherwise specified in this document.","be designed according to [RD4], [RD5], [RD6] and [RD7] unless otherwise specified in this document"
S3986,1998_grace_WEB,The SDS shall process all science data collected by the GRACE satellites,process all science data collected by the GRACE satellites
S4746,2011_dot_WEB,The Misbehavior Management Subsystem shall store information regarding misbehavior reports from other Core System subsystems.,store information regarding misbehavior reports from other Core System subsystems
S4766,2012_marcopolo_WEB,"The telecommunication system shall be capable of simultaneously handling telemetry, ranging and telecommands.","simultaneously handle telemetry, ranging, and telecommands"
S4859,2015_skal0_WEB,SKA1-LOW shall provide 45 dB polarisation dynamic range at 300 arcsec spatial and 1 MHz spectral resolution to enable EoR imaging at 50  200 MHz (HPSO 1).,provide 45 dB polarisation dynamic range at 300 arcsec spatial and 1 MHz spectral resolution to enable EoR imaging at 50  200 MHz (HPSO 1)
S5119,2018_jpss_l0_web,The algorithm shall produce a cloud top temperature product with a mapping uncertainty (3 sigma) of 4 km.,produce a cloud top temperature product with a mapping uncertainty (3 sigma) of 4 km
S5229,2019_gateway_WEB,The Gateway shall provide a reconfigurable mobile video camera system for inspection and internal robotic operations support.,provide a reconfigurable mobile video camera system for inspection and internal robotic operations support
S5314,2012_marcopolo_WEB,The ground segment shall support the on-orbit calibration of the satellite autonomous pointing capabilities.,support the on-orbit calibration of the satellite autonomous pointing capabilities
