dataset_id,benchmark_variant,run_id,model,profile_id,embedding_backend,status,item_rows,stochastic_sample_rows,embedding_shape,analysis_dir,artifact_dir
mlm_tapt,must,full-20260911-215230-81704c72,glm-5.3,zai,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_must_full_20260911_215230_81704c72,outputs/evaluation_mlm_tapt_must_full_20260911_215230_81704c72/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__glm_5_3
mlm_tapt,must,full-20260911-215231-ad82989f,qwen3.6-27b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_must_full_20260911_215231_ad82989f,outputs/evaluation_mlm_tapt_must_full_20260911_215231_ad82989f/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__qwen3_6_27b
mlm_tapt,must,full-20260912-032413-6a6a23b7,qwen3.8-27b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_must_full_20260912_032413_6a6a23b7,outputs/evaluation_mlm_tapt_must_full_20260912_032413_6a6a23b7/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__qwen3_8_27b
mlm_tapt,must,full-20260912-084057-a7401db3,qwen3.5-9b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_must_full_20260912_084057_a7401db3,outputs/evaluation_mlm_tapt_must_full_20260912_084057_a7401db3/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__qwen3_5_9b
mlm_tapt,must,full-20260912-104501-e2e22a73,gemma4-31b-it,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_must_full_20260912_104501_e2e22a73,outputs/evaluation_mlm_tapt_must_full_20260912_104501_e2e22a73/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__gemma4_31b_it
mlm_tapt,must,full-20260912-160611-e08419f2,gemma4-12b-it,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_must_full_20260912_160611_e08419f2,outputs/evaluation_mlm_tapt_must_full_20260912_160611_e08419f2/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__gemma4_12b_it
mlm_tapt,must,full-20260912-171008-6781ef6d,glm-5.3-flash,zai,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_must_full_20260912_171008_6781ef6d,outputs/evaluation_mlm_tapt_must_full_20260912_171008_6781ef6d/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__glm_5_3_flash
mlm_tapt,must,full-20260912-183519-52976245,muse-glimmer-30b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_must_full_20260912_183519_52976245,outputs/evaluation_mlm_tapt_must_full_20260912_183519_52976245/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__muse_glimmer_30b
mlm_tapt,must,full-20260913-021745-77e92c9e,gpt-oss-20b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_must_full_20260913_021745_77e92c9e,outputs/evaluation_mlm_tapt_must_full_20260913_021745_77e92c9e/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__gpt_oss_20b
mlm_tapt,shall,full-shall-20260911-223506-0919f188,qwen3.6-27b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_shall_full_shall_20260911_223506_0919f188,outputs/evaluation_mlm_tapt_shall_full_shall_20260911_223506_0919f188/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__qwen3_6_27b
mlm_tapt,shall,full-shall-20260912-001340-f08b4f45,glm-5.3,zai,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_shall_full_shall_20260912_001340_f08b4f45,outputs/evaluation_mlm_tapt_shall_full_shall_20260912_001340_f08b4f45/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__glm_5_3
mlm_tapt,shall,full-shall-20260912-040810-b9e8c521,qwen3.8-27b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_shall_full_shall_20260912_040810_b9e8c521,outputs/evaluation_mlm_tapt_shall_full_shall_20260912_040810_b9e8c521/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__qwen3_8_27b
mlm_tapt,shall,full-shall-20260912-085758-7e9fe440,qwen3.5-9b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_shall_full_shall_20260912_085758_7e9fe440,outputs/evaluation_mlm_tapt_shall_full_shall_20260912_085758_7e9fe440/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__qwen3_5_9b
mlm_tapt,shall,full-shall-20260912-112717-58317b4e,gemma4-31b-it,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_shall_full_shall_20260912_112717_58317b4e,outputs/evaluation_mlm_tapt_shall_full_shall_20260912_112717_58317b4e/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__gemma4_31b_it
mlm_tapt,shall,full-shall-20260912-162609-c314fa29,gemma4-12b-it,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_shall_full_shall_20260912_162609_c314fa29,outputs/evaluation_mlm_tapt_shall_full_shall_20260912_162609_c314fa29/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__gemma4_12b_it
mlm_tapt,shall,full-shall-20260912-193544-2bf7cfc2,muse-glimmer-30b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_shall_full_shall_20260912_193544_2bf7cfc2,outputs/evaluation_mlm_tapt_shall_full_shall_20260912_193544_2bf7cfc2/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__muse_glimmer_30b
mlm_tapt,shall,full-shall-20260912-201520-e2de5d2e,glm-5.3-flash,zai,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_shall_full_shall_20260912_201520_e2de5d2e,outputs/evaluation_mlm_tapt_shall_full_shall_20260912_201520_e2de5d2e/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__glm_5_3_flash
mlm_tapt,shall,full-shall-20260913-023704-d4f43283,gpt-oss-20b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_mlm_tapt_shall_full_shall_20260913_023704_d4f43283,outputs/evaluation_mlm_tapt_shall_full_shall_20260913_023704_d4f43283/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__gpt_oss_20b
nice,must,full-20260911-231732-c8243f01,qwen3.6-27b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_must_full_20260911_231732_c8243f01,outputs/evaluation_nice_must_full_20260911_231732_c8243f01/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__qwen3_6_27b
nice,must,full-20260912-024900-62ad04b3,glm-5.3,zai,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_must_full_20260912_024900_62ad04b3,outputs/evaluation_nice_must_full_20260912_024900_62ad04b3/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__glm_5_3
nice,must,full-20260912-045222-4936b48d,qwen3.8-27b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_must_full_20260912_045222_4936b48d,outputs/evaluation_nice_must_full_20260912_045222_4936b48d/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__qwen3_8_27b
nice,must,full-20260912-091440-51791f51,qwen3.5-9b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_must_full_20260912_091440_51791f51,outputs/evaluation_nice_must_full_20260912_091440_51791f51/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__qwen3_5_9b
nice,must,full-20260912-120955-e4c79b31,gemma4-31b-it,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_must_full_20260912_120955_e4c79b31,outputs/evaluation_nice_must_full_20260912_120955_e4c79b31/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__gemma4_31b_it
nice,must,full-20260912-164558-c3f2f1be,gemma4-12b-it,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_must_full_20260912_164558_c3f2f1be,outputs/evaluation_nice_must_full_20260912_164558_c3f2f1be/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__gemma4_12b_it
nice,must,full-20260912-203625-8f09e51a,muse-glimmer-30b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_must_full_20260912_203625_8f09e51a,outputs/evaluation_nice_must_full_20260912_203625_8f09e51a/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__muse_glimmer_30b
nice,must,full-20260912-233340-d3e3437b,glm-5.3-flash,zai,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_must_full_20260912_233340_d3e3437b,outputs/evaluation_nice_must_full_20260912_233340_d3e3437b/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__glm_5_3_flash
