external_item_id,source_kind,original_item_id,seed_id,source_condition,source_modality,task2_gold_modality,capability_text,source_statement,requirement,modality,confidence,confidence_num,valid_label,valid_confidence,correct,gold_strength,pred_strength,overcommit,undercommit,high_conf_overcommit_80,high_conf_overcommit_90,text_modality,text_modality_parse_status,text_modality_correct,label_text_consistent,text_overcommit,text_undercommit,text_high_conf_overcommit_80,text_high_conf_overcommit_90
EXT0001,main_benchmark,S0012_recommended,S0012,recommended,recommended,recommended,display Events or Activities,The system SHOULD display Events or Activities.,The system shall display Events or Activities.,recommended,98,98,True,True,True,2,2,False,False,False,False,mandatory,ok,False,False,True,False,True,True
EXT0002,main_benchmark,S0022_recommended,S0022,recommended,recommended,recommended,offer a display of all the Events in the exercise,The system SHOULD offer a display of all the Events in the exercise.,The system shall offer a display of all the Events in the exercise.,recommended,98,98,True,True,True,2,2,False,False,False,False,mandatory,ok,False,False,True,False,True,True
EXT0003,main_benchmark,S0010_recommended,S0010,recommended,recommended,recommended,display Events in a vertical table by time,The system SHOULD display Events in a vertical table by time.,The system shall display Events in a vertical table by time.,recommended,98,98,True,True,True,2,2,False,False,False,False,mandatory,ok,False,False,True,False,True,True
EXT0004,main_benchmark,S0024_optional,S0024,optional,optional,optional,allow a user to define the time segments,The system MAY allow a user to define the time segments.,The system shall allow a user to define the time segments.,optional,98,98,True,True,True,1,1,False,False,False,False,mandatory,ok,False,False,True,False,True,True
EXT0005,main_benchmark,S0014_mandatory,S0014,mandatory,mandatory,mandatory,display MSEL Summary data in both graph nodes and table rows,The system MUST display MSEL Summary data in both graph nodes and table rows.,The system shall display MSEL Summary data in both graph nodes and table rows.,mandatory,98,98,True,True,True,3,3,False,False,False,False,mandatory,ok,True,True,False,False,False,False
EXT0006,main_benchmark,S0011_nice_to_have,S0011,nice_to_have,nice_to_have,nice_to_have,display the Events in a graph by time,It would be useful if the system could display the Events in a graph by time.,The system should display the Events in a graph by time.,recommended,90,90,True,True,False,0,2,True,False,True,True,recommended,ok,False,True,True,False,True,True
EXT0007,weak_modality_probe,S0002_weak_future_enhancement,S0002,weak_future_enhancement,nice_to_have,nice_to_have,match the color of the schema set forth by Department of Homeland Security,Stakeholders mentioned that the system could match the color of the schema set forth by Department of Homeland Security as a possible future enhancement.,The system could match the color of the schema set forth by Department of Homeland Security.,nice_to_have,94,94,True,True,True,0,0,False,False,False,False,optional,ok,False,False,True,False,True,True
EXT0008,weak_modality_probe,S0025_weak_low_priority_enhancement,S0025,weak_low_priority_enhancement,nice_to_have,nice_to_have,display the local and exercise time in separate clocks,"As a low-priority enhancement, the system could display the local and exercise time in separate clocks.",The system could display the local and exercise time in separate clocks.,nice_to_have,94,94,True,True,True,0,0,False,False,False,False,optional,ok,False,False,True,False,True,True
EXT0009,main_benchmark,S0029_recommended,S0029,recommended,recommended,recommended,conform to the smart device user interface standards in look and feel,The system SHOULD conform to the smart device user interface standards in look and feel.,The system shall conform to the smart device user interface standards in look and feel.,recommended,98,98,True,True,True,2,2,False,False,False,False,mandatory,ok,False,False,True,False,True,True
EXT0010,weak_modality_probe,S0011_weak_nice_if,S0011,weak_nice_if,nice_to_have,nice_to_have,display the Events in a graph by time,It would be nice if the system could display the Events in a graph by time.,The system should display the Events in a graph by time.,nice_to_have,94,94,True,True,True,0,0,False,False,False,False,recommended,ok,False,False,True,False,True,True
