item_id,seed_id,template_id,source_modality,source_statement,task2_gold_modality,capability_text
S0001_weak_useful_if,S0001,useful_if,nice_to_have,It would be useful if the system could refresh the display every 60 seconds.,nice_to_have,refresh the display every 60 seconds
S0001_weak_nice_if,S0001,nice_if,nice_to_have,It would be nice if the system could refresh the display every 60 seconds.,nice_to_have,refresh the display every 60 seconds
S0001_weak_low_priority_enhancement,S0001,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could refresh the display every 60 seconds.",nice_to_have,refresh the display every 60 seconds
S0001_weak_future_enhancement,S0001,future_enhancement,nice_to_have,Stakeholders mentioned that the system could refresh the display every 60 seconds as a possible future enhancement.,nice_to_have,refresh the display every 60 seconds
S0002_weak_useful_if,S0002,useful_if,nice_to_have,It would be useful if the system could match the color of the schema set forth by Department of Homeland Security.,nice_to_have,match the color of the schema set forth by Department of Homeland Security
S0002_weak_nice_if,S0002,nice_if,nice_to_have,It would be nice if the system could match the color of the schema set forth by Department of Homeland Security.,nice_to_have,match the color of the schema set forth by Department of Homeland Security
S0002_weak_low_priority_enhancement,S0002,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could match the color of the schema set forth by Department of Homeland Security.",nice_to_have,match the color of the schema set forth by Department of Homeland Security
S0002_weak_future_enhancement,S0002,future_enhancement,nice_to_have,Stakeholders mentioned that the system could match the color of the schema set forth by Department of Homeland Security as a possible future enhancement.,nice_to_have,match the color of the schema set forth by Department of Homeland Security
S0008_weak_useful_if,S0008,useful_if,nice_to_have,It would be useful if the system could respond fast to keep up-to-date data in the display.,nice_to_have,respond fast to keep up-to-date data in the display
S0008_weak_nice_if,S0008,nice_if,nice_to_have,It would be nice if the system could respond fast to keep up-to-date data in the display.,nice_to_have,respond fast to keep up-to-date data in the display
S0008_weak_low_priority_enhancement,S0008,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could respond fast to keep up-to-date data in the display.",nice_to_have,respond fast to keep up-to-date data in the display
S0008_weak_future_enhancement,S0008,future_enhancement,nice_to_have,Stakeholders mentioned that the system could respond fast to keep up-to-date data in the display as a possible future enhancement.,nice_to_have,respond fast to keep up-to-date data in the display
S0009_weak_useful_if,S0009,useful_if,nice_to_have,It would be useful if the system could have a MDI form that allows for the viewing of the graph and the data table.,nice_to_have,have a MDI form that allows for the viewing of the graph and the data table
S0009_weak_nice_if,S0009,nice_if,nice_to_have,It would be nice if the system could have a MDI form that allows for the viewing of the graph and the data table.,nice_to_have,have a MDI form that allows for the viewing of the graph and the data table
S0009_weak_low_priority_enhancement,S0009,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could have a MDI form that allows for the viewing of the graph and the data table.",nice_to_have,have a MDI form that allows for the viewing of the graph and the data table
S0009_weak_future_enhancement,S0009,future_enhancement,nice_to_have,Stakeholders mentioned that the system could have a MDI form that allows for the viewing of the graph and the data table as a possible future enhancement.,nice_to_have,have a MDI form that allows for the viewing of the graph and the data table
S0010_weak_useful_if,S0010,useful_if,nice_to_have,It would be useful if the system could display Events in a vertical table by time.,nice_to_have,display Events in a vertical table by time
S0010_weak_nice_if,S0010,nice_if,nice_to_have,It would be nice if the system could display Events in a vertical table by time.,nice_to_have,display Events in a vertical table by time
S0010_weak_low_priority_enhancement,S0010,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could display Events in a vertical table by time.",nice_to_have,display Events in a vertical table by time
S0010_weak_future_enhancement,S0010,future_enhancement,nice_to_have,Stakeholders mentioned that the system could display Events in a vertical table by time as a possible future enhancement.,nice_to_have,display Events in a vertical table by time
S0011_weak_useful_if,S0011,useful_if,nice_to_have,It would be useful if the system could display the Events in a graph by time.,nice_to_have,display the Events in a graph by time
S0011_weak_nice_if,S0011,nice_if,nice_to_have,It would be nice if the system could display the Events in a graph by time.,nice_to_have,display the Events in a graph by time
S0011_weak_low_priority_enhancement,S0011,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could display the Events in a graph by time.",nice_to_have,display the Events in a graph by time
S0011_weak_future_enhancement,S0011,future_enhancement,nice_to_have,Stakeholders mentioned that the system could display the Events in a graph by time as a possible future enhancement.,nice_to_have,display the Events in a graph by time
S0012_weak_useful_if,S0012,useful_if,nice_to_have,It would be useful if the system could display Events or Activities.,nice_to_have,display Events or Activities
S0012_weak_nice_if,S0012,nice_if,nice_to_have,It would be nice if the system could display Events or Activities.,nice_to_have,display Events or Activities
S0012_weak_low_priority_enhancement,S0012,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could display Events or Activities.",nice_to_have,display Events or Activities
S0012_weak_future_enhancement,S0012,future_enhancement,nice_to_have,Stakeholders mentioned that the system could display Events or Activities as a possible future enhancement.,nice_to_have,display Events or Activities
S0014_weak_useful_if,S0014,useful_if,nice_to_have,It would be useful if the system could display MSEL Summary data in both graph nodes and table rows.,nice_to_have,display MSEL Summary data in both graph nodes and table rows
S0014_weak_nice_if,S0014,nice_if,nice_to_have,It would be nice if the system could display MSEL Summary data in both graph nodes and table rows.,nice_to_have,display MSEL Summary data in both graph nodes and table rows
S0014_weak_low_priority_enhancement,S0014,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could display MSEL Summary data in both graph nodes and table rows.",nice_to_have,display MSEL Summary data in both graph nodes and table rows
S0014_weak_future_enhancement,S0014,future_enhancement,nice_to_have,Stakeholders mentioned that the system could display MSEL Summary data in both graph nodes and table rows as a possible future enhancement.,nice_to_have,display MSEL Summary data in both graph nodes and table rows
S0015_weak_useful_if,S0015,useful_if,nice_to_have,It would be useful if the system could split the table side of the display into sequential and temporal regions.,nice_to_have,split the table side of the display into sequential and temporal regions
S0015_weak_nice_if,S0015,nice_if,nice_to_have,It would be nice if the system could split the table side of the display into sequential and temporal regions.,nice_to_have,split the table side of the display into sequential and temporal regions
S0015_weak_low_priority_enhancement,S0015,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could split the table side of the display into sequential and temporal regions.",nice_to_have,split the table side of the display into sequential and temporal regions
S0015_weak_future_enhancement,S0015,future_enhancement,nice_to_have,Stakeholders mentioned that the system could split the table side of the display into sequential and temporal regions as a possible future enhancement.,nice_to_have,split the table side of the display into sequential and temporal regions
S0018_weak_useful_if,S0018,useful_if,nice_to_have,It would be useful if the system could color code events according to their variance from current time.,nice_to_have,color code events according to their variance from current time
S0018_weak_nice_if,S0018,nice_if,nice_to_have,It would be nice if the system could color code events according to their variance from current time.,nice_to_have,color code events according to their variance from current time
S0018_weak_low_priority_enhancement,S0018,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could color code events according to their variance from current time.",nice_to_have,color code events according to their variance from current time
S0018_weak_future_enhancement,S0018,future_enhancement,nice_to_have,Stakeholders mentioned that the system could color code events according to their variance from current time as a possible future enhancement.,nice_to_have,color code events according to their variance from current time
S0021_weak_useful_if,S0021,useful_if,nice_to_have,It would be useful if the system could allow modification of the display.,nice_to_have,allow modification of the display
S0021_weak_nice_if,S0021,nice_if,nice_to_have,It would be nice if the system could allow modification of the display.,nice_to_have,allow modification of the display
S0021_weak_low_priority_enhancement,S0021,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could allow modification of the display.",nice_to_have,allow modification of the display
S0021_weak_future_enhancement,S0021,future_enhancement,nice_to_have,Stakeholders mentioned that the system could allow modification of the display as a possible future enhancement.,nice_to_have,allow modification of the display
S0022_weak_useful_if,S0022,useful_if,nice_to_have,It would be useful if the system could offer a display of all the Events in the exercise.,nice_to_have,offer a display of all the Events in the exercise
S0022_weak_nice_if,S0022,nice_if,nice_to_have,It would be nice if the system could offer a display of all the Events in the exercise.,nice_to_have,offer a display of all the Events in the exercise
S0022_weak_low_priority_enhancement,S0022,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could offer a display of all the Events in the exercise.",nice_to_have,offer a display of all the Events in the exercise
S0022_weak_future_enhancement,S0022,future_enhancement,nice_to_have,Stakeholders mentioned that the system could offer a display of all the Events in the exercise as a possible future enhancement.,nice_to_have,offer a display of all the Events in the exercise
S0023_weak_useful_if,S0023,useful_if,nice_to_have,It would be useful if the system could filter data by: Venues and Key Events.,nice_to_have,filter data by: Venues and Key Events
S0023_weak_nice_if,S0023,nice_if,nice_to_have,It would be nice if the system could filter data by: Venues and Key Events.,nice_to_have,filter data by: Venues and Key Events
S0023_weak_low_priority_enhancement,S0023,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could filter data by: Venues and Key Events.",nice_to_have,filter data by: Venues and Key Events
S0023_weak_future_enhancement,S0023,future_enhancement,nice_to_have,Stakeholders mentioned that the system could filter data by: Venues and Key Events as a possible future enhancement.,nice_to_have,filter data by: Venues and Key Events
S0024_weak_useful_if,S0024,useful_if,nice_to_have,It would be useful if the system could allow a user to define the time segments.,nice_to_have,allow a user to define the time segments
S0024_weak_nice_if,S0024,nice_if,nice_to_have,It would be nice if the system could allow a user to define the time segments.,nice_to_have,allow a user to define the time segments
S0024_weak_low_priority_enhancement,S0024,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could allow a user to define the time segments.",nice_to_have,allow a user to define the time segments
S0024_weak_future_enhancement,S0024,future_enhancement,nice_to_have,Stakeholders mentioned that the system could allow a user to define the time segments as a possible future enhancement.,nice_to_have,allow a user to define the time segments
S0025_weak_useful_if,S0025,useful_if,nice_to_have,It would be useful if the system could display the local and exercise time in separate clocks.,nice_to_have,display the local and exercise time in separate clocks
S0025_weak_nice_if,S0025,nice_if,nice_to_have,It would be nice if the system could display the local and exercise time in separate clocks.,nice_to_have,display the local and exercise time in separate clocks
S0025_weak_low_priority_enhancement,S0025,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could display the local and exercise time in separate clocks.",nice_to_have,display the local and exercise time in separate clocks
S0025_weak_future_enhancement,S0025,future_enhancement,nice_to_have,Stakeholders mentioned that the system could display the local and exercise time in separate clocks as a possible future enhancement.,nice_to_have,display the local and exercise time in separate clocks
S0026_weak_useful_if,S0026,useful_if,nice_to_have,It would be useful if the system could offer the ability to pause and resume the refresh of data.,nice_to_have,offer the ability to pause and resume the refresh of data
S0026_weak_nice_if,S0026,nice_if,nice_to_have,It would be nice if the system could offer the ability to pause and resume the refresh of data.,nice_to_have,offer the ability to pause and resume the refresh of data
S0026_weak_low_priority_enhancement,S0026,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could offer the ability to pause and resume the refresh of data.",nice_to_have,offer the ability to pause and resume the refresh of data
S0026_weak_future_enhancement,S0026,future_enhancement,nice_to_have,Stakeholders mentioned that the system could offer the ability to pause and resume the refresh of data as a possible future enhancement.,nice_to_have,offer the ability to pause and resume the refresh of data
S0027_weak_useful_if,S0027,useful_if,nice_to_have,It would be useful if the system could provide charts for the Activity or Event actual versus assumed time.,nice_to_have,provide charts for the Activity or Event actual versus assumed time
S0027_weak_nice_if,S0027,nice_if,nice_to_have,It would be nice if the system could provide charts for the Activity or Event actual versus assumed time.,nice_to_have,provide charts for the Activity or Event actual versus assumed time
S0027_weak_low_priority_enhancement,S0027,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could provide charts for the Activity or Event actual versus assumed time.",nice_to_have,provide charts for the Activity or Event actual versus assumed time
S0027_weak_future_enhancement,S0027,future_enhancement,nice_to_have,Stakeholders mentioned that the system could provide charts for the Activity or Event actual versus assumed time as a possible future enhancement.,nice_to_have,provide charts for the Activity or Event actual versus assumed time
S0028_weak_useful_if,S0028,useful_if,nice_to_have,It would be useful if the system could provide a history report of changes made to the Activity or Event data.,nice_to_have,provide a history report of changes made to the Activity or Event data
S0028_weak_nice_if,S0028,nice_if,nice_to_have,It would be nice if the system could provide a history report of changes made to the Activity or Event data.,nice_to_have,provide a history report of changes made to the Activity or Event data
S0028_weak_low_priority_enhancement,S0028,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could provide a history report of changes made to the Activity or Event data.",nice_to_have,provide a history report of changes made to the Activity or Event data
S0028_weak_future_enhancement,S0028,future_enhancement,nice_to_have,Stakeholders mentioned that the system could provide a history report of changes made to the Activity or Event data as a possible future enhancement.,nice_to_have,provide a history report of changes made to the Activity or Event data
