seed_id,source_dataset,source_corpus,original_requirement,capability_text_auto,auto_include,auto_exclusion_reason,include,exclusion_reason,capability_text_final,context_document,context_requirement_id,context_marker,context_section,context_before,context_after,context_legend
S0003,PURE,2007-eirene_fun_7-2,All voice call services shall be able to operate between any combination of fixed and mobile equipment users.,operate between any combination of fixed and mobile equipment users,yes,,yes,,operate between any combination of fixed and mobile equipment users,"EIRENE Functional Requirements Specification, version 7",2.2.2,M,2 Network requirements > 2.2 Voice services,2.2.1 (M): This section describes the generic voice telephony services which are to be supported by the EIRENE network:,2.2.3 (M): The system shall support point-to-point voice calls between any two call parties.,"(M) mandatory, (O) optional"
S0004,PURE,2007-eirene_fun_7-2,The system shall support point-to-point voice calls between any two call parties.,support point-to-point voice calls between any two call parties,yes,,yes,,support point-to-point voice calls between any two call parties,"EIRENE Functional Requirements Specification, version 7",2.2.3,M,2 Network requirements > 2.2 Voice services,2.2.2 (M): All voice call services shall be able to operate between any combination of fixed and mobile equipment users.,2.2.4 (M): Such point-to-point calls shall allow both parties to talk simultaneously.,"(M) mandatory, (O) optional"
S0005,PURE,2007-eirene_fun_7-2,Such point-to-point calls shall allow both parties to talk simultaneously.,allow both parties to talk simultaneously,yes,,yes,,allow both parties to talk simultaneously,"EIRENE Functional Requirements Specification, version 7",2.2.4,M,2 Network requirements > 2.2 Voice services,2.2.3 (M): The system shall support point-to-point voice calls between any two call parties.,2.2.5 (M): The system shall allow a user to make public emergency point-to-point voice calls.,"(M) mandatory, (O) optional"
S0008,PURE,2007-eirene_fun_7-2,The system shall support broadcast voice calls.,support broadcast voice calls,yes,,yes,,support broadcast voice calls,"EIRENE Functional Requirements Specification, version 7",2.2.7,M,2 Network requirements > 2.2 Voice services,2.2.6 (I): Such emergency calls include 112 calls and may not be used for railway emergencies.,"2.2.8 (I): Broadcast voice calls provide one-way voice communications from a single user to multiple users in a pre-defined local area, all of whom are members of the same call group.","(M) mandatory, (O) optional"
S0020,PURE,2007-eirene_fun_7-2,The network should support the transmission of point-to-point and point-to- multipoint text messages from the ground to mobile users.,support the transmission of point-to-point and point-to- multipoint text messages from the ground to mobile users,yes,,yes,,support the transmission of point-to-point and point-to- multipoint text messages from the ground to mobile users,"EIRENE Functional Requirements Specification, version 7",2.3.2,O,2 Network requirements > 2.3 Data services,2.3.1: The EIRENE network will provide data services to support the following data applications: text messages; (O) general data applications; (M) automatic fax; (O) train control applications. (O),2.3.3 (O): The network should support the receipt of mobile-originated text messages by the ground.,"(M) mandatory, (O) optional"
S0021,PURE,2007-eirene_fun_7-2,The network should support the receipt of mobile-originated text messages by the ground.,support the receipt of mobile-originated text messages by the ground,yes,,yes,,support the receipt of mobile-originated text messages by the ground,"EIRENE Functional Requirements Specification, version 7",2.3.3,O,2 Network requirements > 2.3 Data services,2.3.2 (O): The network should support the transmission of point-to-point and point-to- multipoint text messages from the ground to mobile users.,"2.3.4 (M): If the text message facility is implemented, it shall not interfere with the ability of users to make or receive high priority voice or data calls.","(M) mandatory, (O) optional"
S0024,PURE,2007-eirene_fun_7-2,The network shall support point-to-point data communications.,support point-to-point data communications,yes,,yes,,support point-to-point data communications,"EIRENE Functional Requirements Specification, version 7",2.3.6,M,2 Network requirements > 2.3 Data services,2.3.5 (I): Support is required for a range of data communications between the ground and mobile users. Such applications may include:,2.3.7: Deleted.,"(M) mandatory, (O) optional"
S0029,PURE,2007-eirene_fun_7-2,The network should support fax transmissions between the ground and mobile users.,support fax transmissions between the ground and mobile users,yes,,yes,,support fax transmissions between the ground and mobile users,"EIRENE Functional Requirements Specification, version 7",2.3.11,O,2 Network requirements > 2.3 Data services,2.3.10 (I): The priority scheme for calls described in section 10.2 is also valid for data applications.,"2.3.12 (M): Where fax functionality is provided, it shall be possible to interrupt the fax to make or receive a high priority voice or data call.","(M) mandatory, (O) optional"
S0040,PURE,2007-eirene_fun_7-2,This mechanism shall allow calls with a higher assigned priority to override (pre-empt) existing calls of a lower priority.,allow calls with a higher assigned priority to override (pre-empt) existing calls of a lower priority,yes,,yes,,allow calls with a higher assigned priority to override (pre-empt) existing calls of a lower priority,"EIRENE Functional Requirements Specification, version 7",2.4.6,M,2 Network requirements > 2.4 Call related services,2.4.5 (M): The network shall provide a mechanism whereby calls may be assigned one of a number of different priority levels.,2.4.7 (M): Pre-empted calls will be discontinued and the new call of a higher priority shall be connected instead.,"(M) mandatory, (O) optional"
S0045,PURE,2007-eirene_fun_7-2,"In the case of voice calls, it shall be possible for the user who is attempting to forward a call to converse with the intended recipient prior to forwarding.",be possible for the user who is attempting to forward a call to converse with the intended recipient prior to forwarding,yes,,yes,,be possible for the user who is attempting to forward a call to converse with the intended recipient prior to forwarding,"EIRENE Functional Requirements Specification, version 7",2.4.11,M,2 Network requirements > 2.4 Call related services,2.4.10 (M): It shall be possible for an incoming call or data message for one user to be forwarded to another user using functionality provided by the network.,2.4.12: There are a number of sub-classes of call forwarding to be supported by the network: automatically forward the incoming call without any user interaction ( unconditional ); (M) automatically forward the incoming call without user interaction if the user is busy in an existing call ( busy ); (M) automatically forward the incoming call if there is no reply from the intended recipient ( no reply ); (O) automatically forward the incoming call if the intended recipient cannot be contacted via the network ( not reachable ). (O),"(M) mandatory, (O) optional"
